category,amt_2024_25,amt_2023_24,change_billion,change_pct
Social protection,312.24,283.11,29.13,10.3
Transport,47.4,43.19,4.21,9.7
Health,208.16,192.9,15.26,7.9
Public order and safety,52.56,48.94,3.62,7.4
General public services,111.29,103.65,7.64,7.4
Education,148.39,139.16,9.23,6.6
Defence,50.49,48.94,1.55,3.2
"Recreation, culture and religion",19.58,19.19,0.39,2.0
Housing and community amenities,13.4,13.44,-0.04,-0.3
Economic affairs,46.37,47.03,-0.66,-1.4
Environmental protection,20.61,21.11,-0.5,-2.4
