year,category,pct_of_total,amount_billion
2024-25,Social protection,30.3,312.24
2024-25,Health,20.2,208.16
2024-25,Education,14.4,148.39
2024-25,General public services,10.8,111.29
2024-25,Public order and safety,5.1,52.56
2024-25,Defence,4.9,50.49
2024-25,Transport,4.6,47.4
2024-25,Economic affairs,4.5,46.37
2024-25,Environmental protection,2.0,20.61
2024-25,"Recreation, culture and religion",1.9,19.58
2024-25,Housing and community amenities,1.3,13.4
2023-24,Social protection,29.5,283.11
2023-24,Health,20.1,192.9
2023-24,Education,14.5,139.16
2023-24,General public services,10.8,103.65
2023-24,Public order and safety,5.1,48.94
2023-24,Defence,5.1,48.94
2023-24,Economic affairs,4.9,47.03
2023-24,Transport,4.5,43.19
2023-24,Environmental protection,2.2,21.11
2023-24,"Recreation, culture and religion",2.0,19.19
2023-24,Housing and community amenities,1.4,13.44
