industry,employee_jobs_thousands_jun24,employee_jobs_thousands_jun25,cash_wages_millions_2023_24,cash_wages_millions_2024_25
"Electricity, gas, water and waste services",62.3,66.4,7771.7,9144.3
Construction,8.9,9.2,892.0,993.3
"Transport, postal and warehousing",78.0,79.3,8478.9,9062.7
Information media and telecommunications,16.8,16.5,1936.5,1945.2
Financial and insurance services,18.4,19.8,2253.7,2498.9
"Rental, hiring and real estate services",7.6,7.7,664.6,704.5
"Professional, scientific and technical services",38.7,39.6,3803.1,4149.3
Public administration and safety,849.4,880.6,83444.4,90195.8
Education and training,753.9,768.3,57904.5,61399.3
Health care and social assistance,642.4,668.7,61684.5,66169.2
Arts and recreation services,22.8,23.6,1568.5,1634.5
Other industries,15.9,17.6,1394.2,1616.1
