state,level_of_government,employee_jobs_thousands_jun24,employee_jobs_thousands_jun25,cash_wages_millions_2023_24,cash_wages_millions_2024_25
NSW,Commonwealth,86.9,91.6,8938.0,9726.1
NSW,State,557.3,566.1,52348.7,55444.1
NSW,Local,63.4,65.2,5052.8,5478.4
Vic,Commonwealth,62.9,65.6,6362.8,6847.8
Vic,State,485.9,493.2,42980.4,45733.2
Vic,Local,57.4,58.1,4028.2,4209.2
Qld,Commonwealth,50.0,52.9,5004.7,5485.3
Qld,State,406.2,425.4,39433.9,42841.7
Qld,Local,48.1,48.8,4114.1,4409.3
SA,Commonwealth,21.3,23.2,2151.3,2433.8
SA,State,143.2,149.3,11951.9,12703.3
SA,Local,11.6,11.7,958.8,1014.4
WA,Commonwealth,19.0,20.0,1911.3,2097.8
WA,State,219.8,232.3,19544.8,21697.7
WA,Local,25.5,26.5,1775.7,1927.3
Tas,Commonwealth,6.0,5.8,566.3,586.9
Tas,State,54.8,56.3,4740.9,5093.2
Tas,Local,4.6,4.8,323.4,344.7
NT,Commonwealth,9.5,9.7,901.9,951.8
NT,State,31.6,32.4,3290.4,3475.8
NT,Local,3.0,3.0,192.6,194.2
ACT,Commonwealth,109.8,117.1,11482.3,12728.6
ACT,State,37.5,38.2,3741.5,4088.7
